trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-164.66062304982117,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,17,-71.09870869591165,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-139.03827229457823,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-138.58639550676287,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-51.48287373488114,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-107.77326263709557,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,14,10.390276241887864,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,2,-153.43610662271655,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,3,-56.99725080413417,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-124.37859828284994,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,1.6991290369893521,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,18,12.319189686997191,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-29.49523304213558,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,-49.57534491070758,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,6,2.279901073287567,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,21,12.421832827490972,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,16.378736100378973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,20,6.157437893658162,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,14.927513293065333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,20.41805771260999,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,27.94290702907568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,14.227486297295325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,18,13.713958893183316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,14,28.602556771178318,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,20.63032785526115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,11.871728556860536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,6.071801567078776,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,25.879693599307167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,14.614821526406539,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,12,32.994812279657594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
