trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9}",25,0,-69.73624669804529,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.81}",25,0,-150.35348559275815,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.7290000000000001}",20,0,-27.91101164789897,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.6561000000000001}",20,10,-14.123775329208362,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.5904900000000002}",20,0,-21.475701147570902,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.5314410000000002}",30,0,-168.94470111484094,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.6, 'e': 0.47829690000000014}",25,0,-42.81325780699068,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.43046721000000016}",25,7,17.43629638550056,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.38742048900000015}",25,0,18.576836362755753,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.34867844010000015}",25,0,-64.78443319129354,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.31381059609000017}",20,14,-0.10336658446717362,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.28242953648100017}",25,9,3.2981689246266823,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.25418658283290013}",25,8,5.202354946341757,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.22876792454961012}",30,1,2.500892297672243,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.2058911320946491}",20,0,32.88764675995949,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.1853020188851842}",30,20,16.37370208486654,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.16677181699666577}",20,6,14.268199493311622,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.1500946352969992}",30,19,17.971374965736317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.13508517176729928}",25,18,9.947475258432272,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.12157665459056936}",20,13,12.166110653776322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.6, 'e': 0.10941898913151243}",20,15,7.691118227139194,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.0984770902183612}",35,20,26.622723442651115,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.08862938119652508}",20,8,-4.071114106492593,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.07976644307687257}",35,7,44.6535181612862,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.07178979876918531}",25,11,27.618126421439133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.6, 'e': 0.06461081889226679}",20,11,18.060684334030558,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.05814973700304011}",30,16,24.029042340384063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.0523347633027361}",20,16,7.817136224973418,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.04710128697246249}",20,0,0.9479173908635532,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,13,32.5134014996058,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,17,28.904422087198995,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,30.530285882113482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,9,47.29295878050743,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,1,22.225992046878382,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,19.215405367512524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,8.290199691406963,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,18.74611967417932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,7.574269246322414,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,9.068325174798138,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
