trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.75001162994016,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.13423866432657,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.8763150474814,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.81194750077096,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-226.3549250175785,"{0: 21, 1: 3, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.53100583208698,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.70367311203609,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,7,-79.43219347005689,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.97082731070387,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.65552497955434,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.37711483889386,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.10430030224774,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.6125884308621,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.33026224104584,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.63156358557671,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.1835208670271,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.4659651229098,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.11376037025173,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-282.24658057939365,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-45.77055047237325,"{0: 4, 1: 2, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.92429477589737,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.66265918497416,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.96884912640397,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.03289279315513,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.30144788458122,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.71142492372265,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-265.31325339760565,"{0: 8, 1: 4, 2: 9, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.8318180827533,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,14,-17.685746059181778,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-154.14283820707067,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
